Date,BCHAIN-MKPRU,GOLD,GOLD_fillna
2016/09/11 00:00:00,621.65,,1324.6
2016/09/12 00:00:00,609.67,1324.6,1324.6
2016/09/13 00:00:00,610.92,1323.65,1323.65
2016/09/14 00:00:00,608.82,1321.75,1321.75
2016/09/15 00:00:00,610.38,1310.8,1310.8
2016/09/16 00:00:00,609.11,1308.35,1308.35
2016/09/17 00:00:00,607.04,,1314.85
2016/09/18 00:00:00,611.58,,1314.85
2016/09/19 00:00:00,610.19,1314.85,1314.85
2016/09/20 00:00:00,608.66,1313.8,1313.8
2016/09/21 00:00:00,598.88,1326.1,1326.1
2016/09/22 00:00:00,597.42,1339.1,1339.1
2016/09/23 00:00:00,594.08,1338.65,1338.65
2016/09/24 00:00:00,603.88,,1340.5
2016/09/25 00:00:00,601.74,,1340.5
2016/09/26 00:00:00,598.98,1340.5,1340.5
2016/09/27 00:00:00,605.96,1327.0,1327.0
2016/09/28 00:00:00,605.67,1322.5,1322.5
2016/09/29 00:00:00,603.85,1318.1,1318.1
2016/09/30 00:00:00,609.39,1322.5,1322.5
2016/10/01 00:00:00,614.82,,1313.3
2016/10/02 00:00:00,612.98,,1313.3
2016/10/03 00:00:00,611.85,1313.3,1313.3
2016/10/04 00:00:00,609.62,1283.3,1283.3
2016/10/05 00:00:00,607.18,1269.4,1269.4
2016/10/06 00:00:00,612.08,1254.5,1254.5
2016/10/07 00:00:00,617.21,1258.75,1258.75
2016/10/08 00:00:00,614.74,,1259.5
2016/10/09 00:00:00,615.65,,1259.5
2016/10/10 00:00:00,617.54,1259.5,1259.5
2016/10/11 00:00:00,614.77,1253.45,1253.45
2016/10/12 00:00:00,635.01,1256.5,1256.5
2016/10/13 00:00:00,635.96,1261.05,1261.05
2016/10/14 00:00:00,634.02,1251.75,1251.75
2016/10/15 00:00:00,637.94,,1254.8
2016/10/16 00:00:00,641.42,,1254.8
2016/10/17 00:00:00,638.97,1254.8,1254.8
2016/10/18 00:00:00,636.29,1258.2,1258.2
2016/10/19 00:00:00,629.25,1269.05,1269.05
2016/10/20 00:00:00,627.72,1271.65,1271.65
2016/10/21 00:00:00,631.92,1266.05,1266.05
2016/10/22 00:00:00,655.48,,1265.55
2016/10/23 00:00:00,653.25,,1265.55
2016/10/24 00:00:00,651.39,1265.55,1265.55
2016/10/25 00:00:00,655.31,1269.4,1269.4
2016/10/26 00:00:00,651.45,1270.5,1270.5
2016/10/27 00:00:00,682.22,1266.25,1266.25
2016/10/28 00:00:00,687.68,1273.0,1273.0
2016/10/29 00:00:00,685.91,,1272.0
2016/10/30 00:00:00,698.0,,1272.0
2016/10/31 00:00:00,702.0,1272.0,1272.0
2016/11/01 00:00:00,697.01,1288.45,1288.45
2016/11/02 00:00:00,733.33,1303.75,1303.75
2016/11/03 00:00:00,686.17,1301.0,1301.0
2016/11/04 00:00:00,683.69,1302.8,1302.8
2016/11/05 00:00:00,704.79,,1283.05
2016/11/06 00:00:00,712.0,,1283.05
2016/11/07 00:00:00,709.96,1283.05,1283.05
2016/11/08 00:00:00,708.97,1282.35,1282.35
2016/11/09 00:00:00,720.93,1281.4,1281.4
2016/11/10 00:00:00,721.5,1267.5,1267.5
2016/11/11 00:00:00,715.45,1236.45,1236.45
2016/11/12 00:00:00,703.71,,1213.6
2016/11/13 00:00:00,702.28,,1213.6
2016/11/14 00:00:00,706.46,1213.6,1213.6
2016/11/15 00:00:00,710.91,1226.95,1226.95
2016/11/16 00:00:00,711.73,1229.2,1229.2
2016/11/17 00:00:00,736.96,1226.75,1226.75
2016/11/18 00:00:00,747.52,1211.0,1211.0
2016/11/19 00:00:00,748.98,,1214.25
2016/11/20 00:00:00,729.06,,1214.25
2016/11/21 00:00:00,738.53,1214.25,1214.25
2016/11/22 00:00:00,736.97,1212.25,1212.25
2016/11/23 00:00:00,741.63,1185.35,1185.35
2016/11/24 00:00:00,737.45,1186.1,1186.1
2016/11/25 00:00:00,735.64,1187.7,1187.7
2016/11/26 00:00:00,733.67,,1187.0
2016/11/27 00:00:00,727.96,,1187.0
2016/11/28 00:00:00,727.31,1187.0,1187.0
2016/11/29 00:00:00,732.71,1186.55,1186.55
2016/11/30 00:00:00,742.69,1178.1,1178.1
2016/12/01 00:00:00,742.05,1161.85,1161.85
2016/12/02 00:00:00,772.43,1173.5,1173.5
2016/12/03 00:00:00,764.33,,1162.2
2016/12/04 00:00:00,762.97,,1162.2
2016/12/05 00:00:00,754.63,1162.2,1162.2
2016/12/06 00:00:00,756.62,1172.5,1172.5
2016/12/07 00:00:00,758.99,1177.65,1177.65
2016/12/08 00:00:00,769.72,1171.05,1171.05
2016/12/09 00:00:00,770.02,1163.6,1163.6
2016/12/10 00:00:00,769.08,,1156.1
2016/12/11 00:00:00,777.0,,1156.1
2016/12/12 00:00:00,777.0,1156.1,1156.1
2016/12/13 00:00:00,777.99,1158.55,1158.55
2016/12/14 00:00:00,774.89,1162.25,1162.25
2016/12/15 00:00:00,776.75,1126.95,1126.95
2016/12/16 00:00:00,775.88,1131.6,1131.6
2016/12/17 00:00:00,788.7,,1136.25
2016/12/18 00:00:00,788.4,,1136.25
2016/12/19 00:00:00,788.67,1136.25,1136.25
2016/12/20 00:00:00,793.09,1125.7,1125.7
2016/12/21 00:00:00,824.21,1133.65,1133.65
2016/12/22 00:00:00,834.97,1131.35,1131.35
2016/12/23 00:00:00,901.31,,1134.6
2016/12/24 00:00:00,891.61,,1134.6
2016/12/25 00:00:00,892.6,,1134.6
2016/12/26 00:00:00,897.33,,1134.6
2016/12/27 00:00:00,930.37,,1134.6
2016/12/28 00:00:00,930.34,1134.6,1134.6
2016/12/29 00:00:00,963.38,1145.9,1145.9
2016/12/30 00:00:00,952.15,,1151.0
2016/12/31 00:00:00,958.12,,1151.0
2017/01/01 00:00:00,997.72,,1151.0
2017/01/02 00:00:00,1015.97,,1151.0
2017/01/03 00:00:00,1013.42,1151.0,1151.0
2017/01/04 00:00:00,1126.76,1164.25,1164.25
2017/01/05 00:00:00,994.67,1176.7,1176.7
2017/01/06 00:00:00,999.65,1175.85,1175.85
2017/01/07 00:00:00,896.83,,1178.5
2017/01/08 00:00:00,908.14,,1178.5
2017/01/09 00:00:00,910.49,1178.5,1178.5
2017/01/10 00:00:00,906.05,1189.5,1189.5
2017/01/11 00:00:00,785.22,1178.55,1178.55
2017/01/12 00:00:00,780.92,1205.05,1205.05
2017/01/13 00:00:00,826.29,1190.35,1190.35
2017/01/14 00:00:00,817.91,,1203.0
2017/01/15 00:00:00,819.55,,1203.0
2017/01/16 00:00:00,830.5,1203.0,1203.0
2017/01/17 00:00:00,903.84,1216.05,1216.05
2017/01/18 00:00:00,906.6,1214.75,1214.75
2017/01/19 00:00:00,895.798875,1196.05,1196.05
2017/01/20 00:00:00,893.6210875,1200.55,1200.55
2017/01/21 00:00:00,895.64,,1212.85
2017/01/22 00:00:00,918.603625,,1212.85
2017/01/23 00:00:00,922.0736125,1212.85,1212.85
2017/01/24 00:00:00,919.97,1216.8,1216.8
2017/01/25 00:00:00,893.045625,1195.0,1195.0
2017/01/26 00:00:00,915.95625,1189.7,1189.7
2017/01/27 00:00:00,915.05,1184.85,1184.85
2017/01/28 00:00:00,920.31225,,1192.8
2017/01/29 00:00:00,915.933,,1192.8
2017/01/30 00:00:00,912.19,1192.8,1192.8
2017/01/31 00:00:00,964.706075,1212.8,1212.8
2017/02/01 00:00:00,979.703875,1203.65,1203.65
2017/02/02 00:00:00,983.42,1221.95,1221.95
2017/02/03 00:00:00,1013.027,1215.2,1215.2
2017/02/04 00:00:00,1030.999413,,1226.75
2017/02/05 00:00:00,1034.07,,1226.75
2017/02/06 00:00:00,1024.01375,1226.75,1226.75
2017/02/07 00:00:00,1050.11,1231.0,1231.0
2017/02/08 00:00:00,1052.84,1242.1,1242.1
2017/02/09 00:00:00,976.103,1236.8,1236.8
2017/02/10 00:00:00,999.1035,1228.3,1228.3
2017/02/11 00:00:00,997.59,,1222.25
2017/02/12 00:00:00,1000.604625,,1222.25
2017/02/13 00:00:00,999.877375,1222.25,1222.25
2017/02/14 00:00:00,1001.2,1230.75,1230.75
2017/02/15 00:00:00,1012.325988,1224.4,1224.4
2017/02/16 00:00:00,1035.208125,1240.55,1240.55
2017/02/17 00:00:00,1035.2,1241.95,1241.95
2017/02/18 00:00:00,1056.637138,,1237.3
2017/02/19 00:00:00,1052.779286,,1237.3
2017/02/20 00:00:00,1050.87,1237.3,1237.3
2017/02/21 00:00:00,1123.788429,1233.2,1233.2
2017/02/22 00:00:00,1123.223188,1236.65,1236.65
2017/02/23 00:00:00,1130.01,1247.9,1247.9
2017/02/24 00:00:00,1174.86625,1253.65,1253.65
2017/02/25 00:00:00,1150.605714,,1257.2
2017/02/26 00:00:00,1150.37,,1257.2
2017/02/27 00:00:00,1190.75195,1257.2,1257.2
2017/02/28 00:00:00,1187.565286,1255.6,1255.6
2017/03/01 00:00:00,1190.89,1240.4,1240.4
2017/03/02 00:00:00,1259.410817,1238.1,1238.1
2017/03/03 00:00:00,1285.14,1226.5,1226.5
2017/03/04 00:00:00,1287.0,,1230.95
2017/03/05 00:00:00,1270.9333,,1230.95
2017/03/06 00:00:00,1275.197375,1230.95,1230.95
2017/03/07 00:00:00,1279.5,1216.65,1216.65
2017/03/08 00:00:00,1157.3933,1209.2,1209.2
2017/03/09 00:00:00,1192.469143,1206.55,1206.55
2017/03/10 00:00:00,1192.09,1202.65,1202.65
2017/03/11 00:00:00,1179.159875,,1204.2
2017/03/12 00:00:00,1227.494625,,1204.2
2017/03/13 00:00:00,1227.68,1204.2,1204.2
2017/03/14 00:00:00,1245.370786,1204.6,1204.6
2017/03/15 00:00:00,1257.399625,1198.8,1198.8
2017/03/16 00:00:00,1257.0,1229.35,1229.35
2017/03/17 00:00:00,1091.171888,1229.6,1229.6
2017/03/18 00:00:00,952.2323625,,1232.4
2017/03/19 00:00:00,967.69,,1232.4
2017/03/20 00:00:00,1049.084488,1232.4,1232.4
2017/03/21 00:00:00,1118.630043,1241.6,1241.6
2017/03/22 00:00:00,1113.0,1249.05,1249.05
2017/03/23 00:00:00,1038.789,1247.5,1247.5
2017/03/24 00:00:00,941.9197143,1247.5,1247.5
2017/03/25 00:00:00,927.93,,1257.55
2017/03/26 00:00:00,956.7863125,,1257.55
2017/03/27 00:00:00,1037.22925,1257.55,1257.55
2017/03/28 00:00:00,1041.04,1257.25,1257.25
2017/03/29 00:00:00,1040.5755,1251.1,1251.1
2017/03/30 00:00:00,1037.90455,1248.8,1248.8
2017/03/31 00:00:00,1034.74,1244.85,1244.85
2017/04/01 00:00:00,1086.929571,,1247.25
2017/04/02 00:00:00,1099.169125,,1247.25
2017/04/03 00:00:00,1079.99,1247.25,1247.25
2017/04/04 00:00:00,1141.600363,1257.65,1257.65
2017/04/05 00:00:00,1133.079314,1245.8,1245.8
2017/04/06 00:00:00,1133.53,1252.5,1252.5
2017/04/07 00:00:00,1190.45425,1266.45,1266.45
2017/04/08 00:00:00,1181.149838,,1250.05
2017/04/09 00:00:00,1184.03,,1250.05
2017/04/10 00:00:00,1207.744875,1250.05,1250.05
2017/04/11 00:00:00,1226.617038,1252.9,1252.9
2017/04/12 00:00:00,1219.09,1274.3,1274.3
2017/04/13 00:00:00,1180.023713,1284.15,1284.15
2017/04/14 00:00:00,1185.260057,,1278.95
2017/04/15 00:00:00,1170.36,,1278.95
2017/04/16 00:00:00,1186.927413,,1278.95
2017/04/17 00:00:00,1205.634875,,1278.95
2017/04/18 00:00:00,1176.97,1278.95,1278.95
2017/04/19 00:00:00,1217.930088,1279.05,1279.05
2017/04/20 00:00:00,1241.686325,1282.1,1282.1
2017/04/21 00:00:00,1236.63,1281.85,1281.85
2017/04/22 00:00:00,1261.311225,,1269.4
2017/04/23 00:00:00,1257.988113,,1269.4
2017/04/24 00:00:00,1240.84,1269.4,1269.4
2017/04/25 00:00:00,1279.414688,1267.8,1267.8
2017/04/26 00:00:00,1309.109875,1261.85,1261.85
2017/04/27 00:00:00,1288.02,1262.8,1262.8
2017/04/28 00:00:00,1331.294429,1266.45,1266.45
2017/04/29 00:00:00,1334.979038,,1255.45
2017/04/30 00:00:00,1333.0,,1255.45
2017/05/01 00:00:00,1417.172813,,1255.45
2017/05/02 00:00:00,1452.076288,1255.45,1255.45
2017/05/03 00:00:00,1447.55,1250.3,1250.3
2017/05/04 00:00:00,1508.292125,1228.45,1228.45
2017/05/05 00:00:00,1533.335071,1228.05,1228.05
2017/05/06 00:00:00,1518.75,,1229.8
2017/05/07 00:00:00,1535.868429,,1229.8
2017/05/08 00:00:00,1640.619225,1229.8,1229.8
2017/05/09 00:00:00,1651.1,1220.4,1220.4
2017/05/10 00:00:00,1762.88625,1222.95,1222.95
2017/05/11 00:00:00,1820.990563,1223.15,1223.15
2017/05/12 00:00:00,1829.0,1231.25,1231.25
2017/05/13 00:00:00,1771.920013,,1233.3
2017/05/14 00:00:00,1776.3165,,1233.3
2017/05/15 00:00:00,1780.0,1233.3,1233.3
2017/05/16 00:00:00,1739.031975,1234.2,1234.2
2017/05/17 00:00:00,1807.485063,1257.4,1257.4
2017/05/18 00:00:00,1783.98,1255.9,1255.9
2017/05/19 00:00:00,1961.520488,1252.0,1252.0
2017/05/20 00:00:00,2052.909788,,1258.85
2017/05/21 00:00:00,2008.84,,1258.85
2017/05/22 00:00:00,2090.662313,1258.85,1258.85
2017/05/23 00:00:00,2287.710288,1260.2,1260.2
2017/05/24 00:00:00,2256.32,1252.55,1252.55
2017/05/25 00:00:00,2387.206286,1256.95,1256.95
2017/05/26 00:00:00,2211.976857,1265.05,1265.05
2017/05/27 00:00:00,2279.82,,1262.7
2017/05/28 00:00:00,2192.9808,,1262.7
2017/05/29 00:00:00,2275.9307,,1262.7
2017/05/30 00:00:00,2290.02,1262.7,1262.7
2017/05/31 00:00:00,2285.933914,1266.2,1266.2
2017/06/01 00:00:00,2399.242671,1264.85,1264.85
2017/06/02 00:00:00,2409.93,1274.95,1274.95
2017/06/03 00:00:00,2525.765158,,1279.95
2017/06/04 00:00:00,2516.173143,,1279.95
2017/06/05 00:00:00,2529.53,1279.95,1279.95
2017/06/06 00:00:00,2883.313697,1293.5,1293.5
2017/06/07 00:00:00,2664.920863,1291.0,1291.0
2017/06/08 00:00:00,2683.03,1273.1,1273.1
2017/06/09 00:00:00,2827.4913,1266.55,1266.55
2017/06/10 00:00:00,2845.372857,,1266.4
2017/06/11 00:00:00,2898.63,,1266.4
2017/06/12 00:00:00,2657.675063,1266.4,1266.4
2017/06/13 00:00:00,2748.185086,1262.0,1262.0
2017/06/14 00:00:00,2706.0,1275.5,1275.5
2017/06/15 00:00:00,2442.48025,1254.55,1254.55
2017/06/16 00:00:00,2464.959814,1255.4,1255.4
2017/06/17 00:00:00,2477.94,,1248.15
2017/06/18 00:00:00,2507.389252,,1248.15
2017/06/19 00:00:00,2617.210263,1248.15,1248.15
2017/06/20 00:00:00,2600.0,1242.2,1242.2
2017/06/21 00:00:00,2671.04325,1242.5,1242.5
2017/06/22 00:00:00,2727.288013,1250.8,1250.8
2017/06/23 00:00:00,2713.48,1255.7,1255.7
2017/06/24 00:00:00,2589.164888,,1245.25
2017/06/25 00:00:00,2512.366286,,1245.25
2017/06/26 00:00:00,2502.03,1245.25,1245.25
2017/06/27 00:00:00,2517.903114,1249.55,1249.55
2017/06/28 00:00:00,2585.349186,1248.0,1248.0
2017/06/29 00:00:00,2558.3,1243.5,1243.5
2017/06/30 00:00:00,2477.641375,1242.25,1242.25
2017/07/01 00:00:00,2501.191343,,1229.25
2017/07/02 00:00:00,2421.26,,1229.25
2017/07/03 00:00:00,2561.225429,1229.25,1229.25
2017/07/04 00:00:00,2599.729838,1223.75,1223.75
2017/07/05 00:00:00,2598.89,1220.3,1220.3
2017/07/06 00:00:00,2609.96775,1224.9,1224.9
2017/07/07 00:00:00,2491.201214,1215.65,1215.65
2017/07/08 00:00:00,2502.86,,1211.9
2017/07/09 00:00:00,2536.238938,,1211.9
2017/07/10 00:00:00,2366.170143,1211.9,1211.9
2017/07/11 00:00:00,2327.09,1211.05,1211.05
2017/07/12 00:00:00,2385.748571,1218.8,1218.8
2017/07/13 00:00:00,2354.783417,1218.9,1218.9
2017/07/14 00:00:00,2338.49,1230.3,1230.3
2017/07/15 00:00:00,2058.9956,,1234.1
2017/07/16 00:00:00,1931.2143,,1234.1
2017/07/17 00:00:00,1910.96,1234.1,1234.1
2017/07/18 00:00:00,2320.12225,1240.75,1240.75
2017/07/19 00:00:00,2264.7657,1242.15,1242.15
2017/07/20 00:00:00,2265.21,1238.7,1238.7
2017/07/21 00:00:00,2682.195363,1248.55,1248.55
2017/07/22 00:00:00,2807.609857,,1255.55
2017/07/23 00:00:00,2825.51,,1255.55
2017/07/24 00:00:00,2751.821029,1255.55,1255.55
2017/07/25 00:00:00,2560.997917,1254.4,1254.4
2017/07/26 00:00:00,2564.3,1248.1,1248.1
2017/07/27 00:00:00,2647.625,1261.1,1261.1
2017/07/28 00:00:00,2781.636583,1264.9,1264.9
2017/07/29 00:00:00,2784.8,,1267.55
2017/07/30 00:00:00,2745.955417,,1267.55
2017/07/31 00:00:00,2866.431667,1267.55,1267.55
2017/08/01 00:00:00,2862.9,1270.95,1270.95
2017/08/02 00:00:00,2693.633983,1269.6,1269.6
2017/08/03 00:00:00,2794.117717,1268.1,1268.1
2017/08/04 00:00:00,2790.0,1257.7,1257.7
2017/08/05 00:00:00,3218.115017,,1258.0
2017/08/06 00:00:00,3252.562533,,1258.0
2017/08/07 00:00:00,3210.2,1258.0,1258.0
2017/08/08 00:00:00,3457.374333,1261.8,1261.8
2017/08/09 00:00:00,3357.326317,1271.05,1271.05
2017/08/10 00:00:00,3340.28,1284.4,1284.4
2017/08/11 00:00:00,3632.506667,1286.1,1286.1
2017/08/12 00:00:00,3852.802914,,1282.3
2017/08/13 00:00:00,3868.52,,1282.3
2017/08/14 00:00:00,4282.992,1282.3,1282.3
2017/08/15 00:00:00,4217.028329,1270.3,1270.3
2017/08/16 00:00:00,4179.97,1272.75,1272.75
2017/08/17 00:00:00,4328.725717,1285.15,1285.15
2017/08/18 00:00:00,4130.440067,1295.8,1295.8
2017/08/19 00:00:00,4104.71,,1292.9
2017/08/20 00:00:00,4157.958033,,1292.9
2017/08/21 00:00:00,4043.722,1292.9,1292.9
2017/08/22 00:00:00,3986.28,1284.2,1284.2
2017/08/23 00:00:00,4174.95,1286.65,1286.65
2017/08/24 00:00:00,4340.316717,1289.0,1289.0
2017/08/25 00:00:00,4331.77,1285.3,1285.3
2017/08/26 00:00:00,4360.513317,,1318.65
2017/08/27 00:00:00,4354.308333,,1318.65
2017/08/28 00:00:00,4339.05,,1318.65
2017/08/29 00:00:00,4607.98545,1318.65,1318.65
2017/08/30 00:00:00,4594.98785,1308.5,1308.5
2017/08/31 00:00:00,4582.52,1311.75,1311.75
2017/09/01 00:00:00,4911.740017,1320.4,1320.4
2017/09/02 00:00:00,4580.38748,,1333.1
2017/09/03 00:00:00,4585.57,,1333.1
2017/09/04 00:00:00,4344.098317,1333.1,1333.1
2017/09/05 00:00:00,4488.72014,1335.55,1335.55
2017/09/06 00:00:00,4385.02,1337.85,1337.85
2017/09/07 00:00:00,4654.6585,1343.5,1343.5
2017/09/08 00:00:00,4310.750183,1346.25,1346.25
2017/09/09 00:00:00,4312.26,,1334.2
2017/09/10 00:00:00,4329.955,,1334.2
2017/09/11 00:00:00,4248.090017,1334.2,1334.2
2017/09/12 00:00:00,4198.59,1326.5,1326.5
2017/09/13 00:00:00,3961.271267,1327.55,1327.55
2017/09/14 00:00:00,3319.63,1324.55,1324.55
2017/09/15 00:00:00,3216.43,1322.85,1322.85
2017/09/16 00:00:00,3763.62604,,1312.1
2017/09/17 00:00:00,3746.060783,,1312.1
2017/09/18 00:00:00,3678.53,1312.1,1312.1
2017/09/19 00:00:00,3943.413333,1309.6,1309.6
2017/09/20 00:00:00,3977.561667,1311.3,1311.3
2017/09/21 00:00:00,3894.48,1292.1,1292.1
2017/09/22 00:00:00,3637.50255,1294.8,1294.8
2017/09/23 00:00:00,3776.3869,,1293.3
2017/09/24 00:00:00,3777.62,,1293.3
2017/09/25 00:00:00,3942.555,1293.3,1293.3
2017/09/26 00:00:00,3910.307383,1300.05,1300.05
2017/09/27 00:00:00,3881.0,1282.55,1282.55
2017/09/28 00:00:00,4201.98905,1283.35,1283.35
2017/09/29 00:00:00,4193.574667,1283.1,1283.1
2017/09/30 00:00:00,4164.27,,1273.7
2017/10/01 00:00:00,4360.722967,,1273.7
2017/10/02 00:00:00,4386.88375,1273.7,1273.7
2017/10/03 00:00:00,4394.07,1271.25,1271.25
2017/10/04 00:00:00,4225.175,1274.25,1274.25
2017/10/05 00:00:00,4338.852,1274.5,1274.5
2017/10/06 00:00:00,4318.58,1261.8,1261.8
2017/10/07 00:00:00,4376.191667,,1278.75
2017/10/08 00:00:00,4602.280883,,1278.75
2017/10/09 00:00:00,4605.66,1278.75,1278.75
2017/10/10 00:00:00,4782.28,1291.4,1291.4
2017/10/11 00:00:00,4819.485767,1289.25,1289.25
2017/10/12 00:00:00,4822.17,1290.25,1290.25
2017/10/13 00:00:00,5563.806567,1299.6,1299.6
2017/10/14 00:00:00,5739.438733,,1303.3
2017/10/15 00:00:00,5825.99,,1303.3
2017/10/16 00:00:00,5711.205867,1303.3,1303.3
2017/10/17 00:00:00,5603.71294,1284.75,1284.75
2017/10/18 00:00:00,5594.66,1280.2,1280.2
2017/10/19 00:00:00,5727.6335,1286.4,1286.4
2017/10/20 00:00:00,5979.45984,1281.2,1281.2
2017/10/21 00:00:00,5986.44,,1274.9
2017/10/22 00:00:00,5983.18455,,1274.9
2017/10/23 00:00:00,5876.079867,1274.9,1274.9
2017/10/24 00:00:00,5900.59,1276.45,1276.45
2017/10/25 00:00:00,5669.622533,1275.0,1275.0
2017/10/26 00:00:00,5893.138417,1273.75,1273.75
2017/10/27 00:00:00,5889.82,1266.45,1266.45
2017/10/28 00:00:00,5776.69695,,1272.0
2017/10/29 00:00:00,6155.43402,,1272.0
2017/10/30 00:00:00,6136.49,1272.0,1272.0
2017/10/31 00:00:00,6388.645167,1270.15,1270.15
2017/11/01 00:00:00,6665.306683,1277.05,1277.05
2017/11/02 00:00:00,6751.98,1279.2,1279.2
2017/11/03 00:00:00,7197.72006,1267.2,1267.2
2017/11/04 00:00:00,7437.543317,,1270.9
2017/11/05 00:00:00,7365.99,,1270.9
2017/11/06 00:00:00,6989.071667,1270.9,1270.9
2017/11/07 00:00:00,7092.127233,1275.6,1275.6
2017/11/08 00:00:00,7128.64,1284.0,1284.0
2017/11/09 00:00:00,7158.03706,1284.8,1284.8
2017/11/10 00:00:00,6719.39785,1284.3,1284.3
2017/11/11 00:00:00,6569.22,,1277.95
2017/11/12 00:00:00,5716.301583,,1277.95
2017/11/13 00:00:00,6550.227533,1277.95,1277.95
2017/11/14 00:00:00,6493.63,1274.6,1274.6
2017/11/15 00:00:00,7301.42992,1282.2,1282.2
2017/11/16 00:00:00,7815.0307,1280.0,1280.0
2017/11/17 00:00:00,7868.77,1284.35,1284.35
2017/11/18 00:00:00,7817.140383,,1286.2
2017/11/19 00:00:00,8007.654067,,1286.2
2017/11/20 00:00:00,8049.72,1286.2,1286.2
2017/11/21 00:00:00,8059.8,1283.3,1283.3
2017/11/22 00:00:00,8268.035,1286.95,1286.95
2017/11/23 00:00:00,8236.72,1290.35,1290.35
2017/11/24 00:00:00,8250.978333,1290.5,1290.5
2017/11/25 00:00:00,8707.407267,,1294.9
2017/11/26 00:00:00,8768.8,,1294.9
2017/11/27 00:00:00,9718.29505,1294.9,1294.9
2017/11/28 00:00:00,9952.50882,1291.85,1291.85
2017/11/29 00:00:00,9919.0,1283.85,1283.85
2017/11/30 00:00:00,10147.372,1280.2,1280.2
2017/12/01 00:00:00,10883.912,1275.5,1275.5
2017/12/02 00:00:00,10879.88,,1273.45
2017/12/03 00:00:00,11332.622,,1273.45
2017/12/04 00:00:00,11584.83,1273.45,1273.45
2017/12/05 00:00:00,11591.22,1266.3,1266.3
2017/12/06 00:00:00,13540.98,1263.7,1263.7
2017/12/07 00:00:00,16501.97167,1255.0,1255.0
