NOC,Year,Total_Medals,Gold_Medals
AFG,1936,0,0
AFG,1948,0,0
AFG,1960,0,0
AFG,1964,0,0
AFG,1968,0,0
AFG,1972,0,0
AFG,1980,0,0
AFG,1988,0,0
AFG,1996,0,0
AFG,2004,0,0
AFG,2008,1,0
AFG,2012,1,0
AFG,2016,0,0
AFG,2020,0,0
AFG,2024,0,0
AHO,1952,0,0
AHO,1960,0,0
AHO,1964,0,0
AHO,1968,0,0
AHO,1972,0,0
AHO,1976,0,0
AHO,1984,0,0
AHO,1988,1,0
AHO,1992,0,0
AHO,1996,0,0
AHO,2000,0,0
AHO,2004,0,0
AHO,2008,0,0
AIN,2024,6,1
ALB,1972,0,0
ALB,1992,0,0
ALB,1996,0,0
ALB,2000,0,0
ALB,2004,0,0
ALB,2008,0,0
ALB,2012,0,0
ALB,2016,0,0
ALB,2020,0,0
ALB,2024,2,0
ALG,1964,0,0
ALG,1968,0,0
ALG,1972,0,0
ALG,1980,0,0
ALG,1984,2,0
ALG,1988,0,0
ALG,1992,2,1
ALG,1996,3,2
ALG,2000,5,1
ALG,2004,0,0
ALG,2008,2,0
ALG,2012,1,1
ALG,2016,2,0
ALG,2020,0,0
ALG,2024,3,2
AND,1976,0,0
AND,1980,0,0
AND,1984,0,0
AND,1988,0,0
AND,1992,0,0
AND,1996,0,0
AND,2000,0,0
AND,2004,0,0
AND,2008,0,0
AND,2012,0,0
AND,2016,0,0
AND,2020,0,0
AND,2024,0,0
ANG,1980,0,0
ANG,1988,0,0
ANG,1992,0,0
ANG,1996,0,0
ANG,2000,0,0
ANG,2004,0,0
ANG,2008,0,0
ANG,2012,0,0
ANG,2016,0,0
ANG,2020,0,0
ANG,2024,0,0
ANT,1976,0,0
ANT,1984,0,0
ANT,1988,0,0
ANT,1992,0,0
ANT,1996,0,0
ANT,2000,0,0
ANT,2004,0,0
ANT,2008,0,0
ANT,2012,0,0
ANT,2016,0,0
ANT,2020,0,0
ANT,2024,0,0
ANZ,1908,17,15
ANZ,1912,1,0
ARG,1900,0,0
ARG,1920,0,0
ARG,1924,5,0
ARG,1928,25,2
ARG,1932,4,3
ARG,1936,6,1
ARG,1948,11,3
ARG,1952,6,2
ARG,1956,2,0
ARG,1960,4,0
ARG,1964,1,0
ARG,1968,2,0
ARG,1972,1,0
ARG,1976,0,0
ARG,1984,0,0
ARG,1988,13,0
ARG,1992,2,0
ARG,1996,20,0
ARG,2000,4,0
ARG,2004,32,28
ARG,2008,35,20
ARG,2012,4,1
ARG,2016,4,3
ARG,2020,25,0
ARG,2024,3,1
ARM,1996,2,1
ARM,2000,1,0
ARM,2004,0,0
ARM,2008,6,0
ARM,2012,3,0
ARM,2016,4,1
ARM,2020,4,0
ARM,2024,4,0
ARU,1988,0,0
ARU,1992,0,0
ARU,1996,0,0
ARU,2000,0,0
ARU,2004,0,0
ARU,2008,0,0
ARU,2012,0,0
ARU,2016,0,0
ARU,2020,0,0
ARU,2024,0,0
ASA,1988,0,0
ASA,1992,0,0
ASA,1996,0,0
ASA,2000,0,0
ASA,2004,0,0
ASA,2008,0,0
ASA,2012,0,0
ASA,2016,0,0
ASA,2020,0,0
ASA,2024,0,0
AUS,1896,3,2
AUS,1900,4,1
AUS,1904,0,0
AUS,1906,2,0
AUS,1920,1,0
AUS,1924,1,1
AUS,1928,2,1
AUS,1932,3,2
AUS,1936,1,0
AUS,1948,12,2
AUS,1952,19,6
AUS,1956,42,9
AUS,1960,12,6
AUS,1964,10,4
AUS,1968,19,2
AUS,1972,10,5
AUS,1976,7,0
AUS,1980,2,0
AUS,1984,32,6
AUS,1988,16,1
AUS,1992,32,13
AUS,1996,60,14
AUS,2000,72,16
AUS,2004,62,15
AUS,2008,47,11
AUS,2012,52,11
AUS,2016,48,16
AUS,2020,54,13
AUS,2024,47,13
AUT,1896,3,1
AUT,1900,2,0
AUT,1904,3,2
AUT,1906,6,2
AUT,1908,0,0
AUT,1912,10,0
AUT,1924,4,0
AUT,1928,4,2
AUT,1932,5,1
AUT,1936,50,5
AUT,1948,4,1
AUT,1952,3,0
AUT,1956,4,0
AUT,1960,3,1
AUT,1964,0,0
AUT,1968,5,0
AUT,1972,3,0
AUT,1976,1,0
AUT,1980,5,1
AUT,1984,3,1
AUT,1988,1,1
AUT,1992,6,0
AUT,1996,3,0
AUT,2000,4,3
AUT,2004,6,3
AUT,2008,2,0
AUT,2012,0,0
AUT,2016,2,0
AUT,2020,6,1
AUT,2024,6,3
AZE,1996,1,0
AZE,2000,3,2
AZE,2004,5,1
AZE,2008,7,1
AZE,2012,10,2
AZE,2016,18,1
AZE,2020,5,0
AZE,2024,7,2
BAH,1952,0,0
BAH,1956,2,0
BAH,1960,0,0
BAH,1964,2,2
BAH,1968,0,0
BAH,1972,0,0
BAH,1976,0,0
BAH,1984,0,0
BAH,1988,0,0
BAH,1992,1,0
BAH,1996,5,0
BAH,2000,11,6
BAH,2004,2,1
BAH,2008,7,0
BAH,2012,4,4
BAH,2016,6,1
BAH,2020,2,2
BAH,2024,0,0
BAN,1984,0,0
BAN,1988,0,0
BAN,1992,0,0
BAN,1996,0,0
BAN,2000,0,0
BAN,2004,0,0
BAN,2008,0,0
BAN,2012,0,0
BAN,2016,0,0
BAN,2020,0,0
BAN,2024,0,0
BAR,1968,0,0
BAR,1972,0,0
BAR,1976,0,0
BAR,1984,0,0
BAR,1988,0,0
BAR,1992,0,0
BAR,1996,0,0
BAR,2000,1,0
BAR,2004,0,0
BAR,2008,0,0
BAR,2012,0,0
BAR,2016,0,0
BAR,2020,0,0
BAR,2024,0,0
BDI,1996,1,1
BDI,2000,0,0
BDI,2004,0,0
BDI,2008,0,0
BDI,2012,0,0
BDI,2016,1,0
BDI,2020,0,0
BDI,2024,0,0
BEL,1900,33,6
BEL,1906,11,2
BEL,1908,26,1
BEL,1912,10,7
BEL,1920,151,55
BEL,1924,27,3
BEL,1928,5,0
BEL,1932,0,0
BEL,1936,4,0
BEL,1948,15,5
BEL,1952,8,5
BEL,1956,2,0
BEL,1960,4,0
BEL,1964,3,2
BEL,1968,3,0
BEL,1972,2,0
BEL,1976,9,0
BEL,1980,1,1
BEL,1984,4,1
BEL,1988,2,0
BEL,1992,3,0
BEL,1996,5,1
BEL,2000,7,0
BEL,2004,3,1
BEL,2008,5,1
BEL,2012,3,0
BEL,2016,4,2
BEL,2020,9,2
BEL,2024,9,3
BEN,1972,0,0
BEN,1980,0,0
BEN,1984,0,0
BEN,1988,0,0
BEN,1992,0,0
BEN,1996,0,0
BEN,2000,0,0
BEN,2004,0,0
BEN,2008,0,0
BEN,2012,0,0
BEN,2016,0,0
BEN,2020,0,0
BEN,2024,0,0
BER,1948,0,0
BER,1952,0,0
BER,1956,0,0
BER,1960,0,0
BER,1964,0,0
BER,1968,0,0
BER,1972,0,0
BER,1976,1,0
BER,1984,0,0
BER,1988,0,0
BER,1992,0,0
BER,1996,0,0
BER,2000,0,0
BER,2004,0,0
BER,2008,0,0
BER,2012,0,0
BER,2016,0,0
BER,2020,1,1
BER,2024,0,0
BHU,1984,0,0
BHU,1988,0,0
BHU,1992,0,0
BHU,1996,0,0
BHU,2000,0,0
BHU,2004,0,0
BHU,2008,0,0
BHU,2012,0,0
BHU,2016,0,0
BHU,2020,0,0
BHU,2024,0,0
BIH,1992,0,0
BIH,1996,0,0
BIH,2000,0,0
BIH,2004,0,0
BIH,2008,0,0
BIH,2012,0,0
BIH,2016,0,0
BIH,2020,0,0
BIH,2024,0,0
BIZ,1968,0,0
BIZ,1972,0,0
BIZ,1976,0,0
BIZ,1984,0,0
BIZ,1988,0,0
BIZ,1992,0,0
BIZ,1996,0,0
BIZ,2000,0,0
BIZ,2004,0,0
BIZ,2008,0,0
BIZ,2012,0,0
BIZ,2016,0,0
BIZ,2020,0,0
BIZ,2024,0,0
BLR,1996,23,1
BLR,2000,22,3
BLR,2004,15,2
BLR,2008,29,8
BLR,2012,21,3
BLR,2016,10,0
BLR,2020,6,1
BOH,1900,3,0
BOH,1906,3,0
BOH,1908,6,0
BOH,1912,0,0
BOL,1964,0,0
BOL,1968,0,0
BOL,1972,0,0
BOL,1976,0,0
BOL,1984,0,0
BOL,1988,0,0
BOL,1992,0,0
BOL,1996,0,0
BOL,2000,0,0
BOL,2004,0,0
BOL,2008,0,0
BOL,2012,0,0
BOL,2016,0,0
BOL,2020,0,0
BOL,2024,0,0
BOT,1980,0,0
BOT,1984,0,0
BOT,1988,0,0
BOT,1992,0,0
BOT,1996,0,0
BOT,2000,0,0
BOT,2004,0,0
BOT,2008,0,0
BOT,2012,1,0
BOT,2016,0,0
BOT,2020,6,0
BOT,2024,7,1
BRA,1900,0,0
BRA,1920,7,1
BRA,1924,0,0
BRA,1932,0,0
BRA,1936,0,0
BRA,1948,10,0
BRA,1952,2,1
BRA,1956,1,1
BRA,1960,12,0
BRA,1964,12,0
BRA,1968,4,0
BRA,1972,2,0
BRA,1976,3,0
BRA,1980,5,4
BRA,1984,35,1
BRA,1988,23,1
BRA,1992,13,13
BRA,1996,60,5
BRA,2000,44,0
BRA,2004,40,18
BRA,2008,76,13
BRA,2012,57,14
BRA,2016,49,36
BRA,2020,51,27
BRA,2024,66,4
BRN,1984,0,0
BRN,1988,0,0
BRN,1992,0,0
BRN,1996,0,0
BRN,2000,0,0
BRN,2004,0,0
BRN,2008,0,0
BRN,2012,1,0
BRN,2016,2,1
BRN,2020,1,0
BRN,2024,4,2
BRU,1996,0,0
BRU,2000,0,0
BRU,2004,0,0
BRU,2012,0,0
BRU,2016,0,0
BRU,2020,0,0
BRU,2024,0,0
BUL,1924,0,0
BUL,1928,0,0
BUL,1936,0,0
BUL,1952,1,0
BUL,1956,18,1
BUL,1960,7,1
BUL,1964,10,3
BUL,1968,26,2
BUL,1972,22,6
BUL,1976,39,8
BUL,1980,90,8
BUL,1988,38,9
BUL,1992,17,3
BUL,1996,21,3
BUL,2000,13,5
BUL,2004,17,2
BUL,2008,5,1
BUL,2012,2,0
BUL,2016,7,0
BUL,2020,9,6
BUL,2024,7,3
BUR,1972,0,0
BUR,1988,0,0
BUR,1992,0,0
BUR,1996,0,0
BUR,2000,0,0
BUR,2004,0,0
BUR,2008,0,0
BUR,2012,0,0
BUR,2016,0,0
BUR,2020,1,0
BUR,2024,0,0
CAF,1968,0,0
CAF,1984,0,0
CAF,1988,0,0
CAF,1992,0,0
CAF,1996,0,0
CAF,2000,0,0
CAF,2004,0,0
CAF,2008,0,0
CAF,2012,0,0
CAF,2016,0,0
CAF,2020,0,0
CAF,2024,0,0
CAM,1956,0,0
CAM,1964,0,0
CAM,1972,0,0
CAM,1996,0,0
CAM,2000,0,0
CAM,2004,0,0
CAM,2008,0,0
CAM,2012,0,0
CAM,2016,0,0
CAM,2020,0,0
CAM,2024,0,0
CAN,1900,2,1
CAN,1904,24,15
CAN,1906,2,1
CAN,1908,40,2
CAN,1912,6,1
CAN,1920,6,2
CAN,1924,20,0
CAN,1928,29,7
CAN,1932,38,2
CAN,1936,22,1
CAN,1948,6,0
CAN,1952,4,1
CAN,1956,18,5
CAN,1960,9,0
CAN,1964,5,2
CAN,1968,3,3
CAN,1972,3,0
CAN,1976,3,0
CAN,1984,67,14
CAN,1988,10,1
CAN,1992,35,25
CAN,1996,37,8
CAN,2000,17,4
CAN,2004,13,3
CAN,2008,30,11
CAN,2012,47,0
CAN,2016,50,2
CAN,2020,50,35
CAN,2024,44,10
CAY,1976,0,0
CAY,1984,0,0
CAY,1988,0,0
CAY,1992,0,0
CAY,1996,0,0
CAY,2000,0,0
CAY,2004,0,0
CAY,2008,0,0
CAY,2012,0,0
CAY,2016,0,0
CAY,2020,0,0
CAY,2024,0,0
CGO,1964,0,0
CGO,1972,0,0
CGO,1980,0,0
CGO,1984,0,0
CGO,1988,0,0
CGO,1992,0,0
CGO,1996,0,0
CGO,2000,0,0
CGO,2004,0,0
CGO,2008,0,0
CGO,2012,0,0
CGO,2016,0,0
CGO,2020,0,0
CGO,2024,0,0
CHA,1964,0,0
CHA,1968,0,0
CHA,1972,0,0
CHA,1984,0,0
CHA,1988,0,0
CHA,1992,0,0
CHA,1996,0,0
CHA,2000,0,0
CHA,2004,0,0
CHA,2008,0,0
CHA,2012,0,0
CHA,2016,0,0
CHA,2020,0,0
CHA,2024,0,0
CHI,1912,0,0
CHI,1920,0,0
CHI,1924,0,0
CHI,1928,1,0
CHI,1936,0,0
CHI,1948,0,0
CHI,1952,4,0
CHI,1956,4,0
CHI,1960,0,0
CHI,1964,0,0
CHI,1968,0,0
CHI,1972,0,0
CHI,1976,0,0
CHI,1984,0,0
CHI,1988,1,0
CHI,1992,0,0
CHI,1996,0,0
CHI,2000,17,0
CHI,2004,4,3
CHI,2008,1,0
CHI,2012,0,0
CHI,2016,0,0
CHI,2020,0,0
CHI,2024,2,1
CHN,1932,0,0
CHN,1936,0,0
CHN,1948,0,0
CHN,1984,71,23
CHN,1988,42,4
CHN,1992,64,11
CHN,1996,74,15
CHN,2000,65,32
CHN,2004,75,42
CHN,2008,127,60
CHN,2012,81,40
CHN,2016,79,35
CHN,2020,94,39
CHN,2024,85,38
CIV,1964,0,0
CIV,1968,0,0
CIV,1972,0,0
CIV,1976,0,0
CIV,1984,1,0
CIV,1988,0,0
CIV,1992,0,0
CIV,1996,0,0
CIV,2000,0,0
CIV,2004,0,0
CIV,2008,0,0
CIV,2012,0,0
CIV,2016,2,1
CIV,2020,1,0
CIV,2024,1,0
CMR,1964,0,0
CMR,1968,1,0
CMR,1972,0,0
CMR,1976,0,0
CMR,1980,0,0
CMR,1984,1,0
CMR,1988,0,0
CMR,1992,0,0
CMR,1996,0,0
CMR,2000,18,18
CMR,2004,1,1
CMR,2008,1,1
CMR,2012,0,0
CMR,2016,0,0
CMR,2020,0,0
CMR,2024,0,0
COD,1968,0,0
COD,1984,0,0
COD,1988,0,0
COD,1992,0,0
COD,1996,0,0
COD,2000,0,0
COD,2004,0,0
COD,2008,0,0
COD,2012,0,0
COD,2016,0,0
COD,2020,0,0
COD,2024,0,0
COK,1988,0,0
COK,1992,0,0
COK,1996,0,0
COK,2000,0,0
COK,2004,0,0
COK,2008,0,0
COK,2012,0,0
COK,2016,0,0
COK,2020,0,0
COK,2024,0,0
COL,1932,0,0
COL,1936,0,0
COL,1948,0,0
COL,1956,0,0
COL,1960,0,0
COL,1964,0,0
COL,1968,0,0
COL,1972,3,0
COL,1976,0,0
COL,1980,0,0
COL,1984,1,0
COL,1988,1,0
COL,1992,1,0
COL,1996,0,0
COL,2000,1,1
COL,2004,2,0
COL,2008,2,0
COL,2012,8,1
COL,2016,8,3
COL,2020,5,0
COL,2024,4,0
COM,1996,0,0
COM,2000,0,0
COM,2004,0,0
COM,2008,0,0
COM,2012,0,0
COM,2016,0,0
COM,2020,0,0
COM,2024,0,0
CPV,1996,0,0
CPV,2000,0,0
CPV,2004,0,0
CPV,2008,0,0
CPV,2012,0,0
CPV,2016,0,0
CPV,2020,0,0
CPV,2024,1,0
CRC,1936,0,0
CRC,1964,0,0
CRC,1968,0,0
CRC,1972,0,0
CRC,1976,0,0
CRC,1980,0,0
CRC,1984,0,0
CRC,1988,0,0
CRC,1992,0,0
CRC,1996,0,0
CRC,2000,0,0
CRC,2004,0,0
CRC,2008,0,0
CRC,2012,0,0
CRC,2016,0,0
CRC,2020,0,0
CRC,2024,0,0
CRO,1992,15,0
CRO,1996,16,16
CRO,2000,10,1
CRO,2004,20,15
CRO,2008,5,0
CRO,2012,22,2
CRO,2016,11,7
CRO,2020,11,5
CRO,2024,7,3
CRT,1906,0,0
CUB,1900,2,1
CUB,1904,5,5
CUB,1924,0,0
CUB,1928,0,0
CUB,1948,2,0
CUB,1952,0,0
CUB,1956,0,0
CUB,1960,0,0
CUB,1964,1,0
CUB,1968,10,0
CUB,1972,22,3
CUB,1976,24,6
CUB,1980,20,8
CUB,1992,49,22
CUB,1996,33,17
CUB,2000,41,18
CUB,2004,38,8
CUB,2008,23,2
CUB,2012,14,5
CUB,2016,11,5
CUB,2020,14,6
CUB,2024,8,2
CYP,1980,0,0
CYP,1984,0,0
CYP,1988,0,0
CYP,1992,0,0
CYP,1996,0,0
CYP,2000,0,0
CYP,2004,0,0
CYP,2008,0,0
CYP,2012,1,0
CYP,2016,0,0
CYP,2020,0,0
CYP,2024,1,0
CZE,1996,13,4
CZE,2000,9,2
CZE,2004,13,1
CZE,2008,7,3
CZE,2012,14,4
CZE,2016,15,1
CZE,2020,9,4
CZE,2024,7,2
DEN,1896,6,1
DEN,1900,5,1
DEN,1906,34,14
DEN,1908,16,0
DEN,1912,87,5
DEN,1920,58,25
DEN,1924,12,2
DEN,1928,12,6
DEN,1932,8,0
DEN,1936,4,0
DEN,1948,40,5
DEN,1952,9,3
DEN,1956,6,1
DEN,1960,23,2
DEN,1964,12,7
DEN,1968,17,5
DEN,1972,1,1
DEN,1976,8,3
DEN,1980,7,4
DEN,1984,13,0
DEN,1988,6,3
DEN,1992,14,3
DEN,1996,23,21
DEN,2000,25,18
DEN,2004,29,19
DEN,2008,18,6
DEN,2012,16,3
DEN,2016,36,14
DEN,2020,30,4
DEN,2024,40,17
DJI,1984,0,0
DJI,1988,1,0
DJI,1992,0,0
DJI,1996,0,0
DJI,2000,0,0
DJI,2008,0,0
DJI,2012,0,0
DJI,2016,0,0
DJI,2020,0,0
DJI,2024,0,0
DMA,1996,0,0
DMA,2000,0,0
DMA,2004,0,0
DMA,2008,0,0
DMA,2012,0,0
DMA,2016,0,0
DMA,2020,0,0
DMA,2024,1,1
DOM,1964,0,0
DOM,1968,0,0
DOM,1972,0,0
DOM,1976,0,0
DOM,1980,0,0
DOM,1984,1,0
DOM,1988,0,0
DOM,1992,0,0
DOM,1996,0,0
DOM,2000,0,0
DOM,2004,1,1
DOM,2008,2,1
DOM,2012,2,1
DOM,2016,1,0
DOM,2020,8,0
DOM,2024,3,1
ECU,1924,0,0
ECU,1968,0,0
ECU,1972,0,0
ECU,1976,0,0
ECU,1980,0,0
ECU,1984,0,0
ECU,1988,0,0
ECU,1992,0,0
ECU,1996,1,1
ECU,2000,0,0
ECU,2004,0,0
ECU,2008,1,0
ECU,2012,0,0
ECU,2016,0,0
ECU,2020,3,2
ECU,2024,6,1
EGY,1906,0,0
EGY,1920,0,0
EGY,1924,0,0
EGY,1928,2,2
EGY,1936,5,2
EGY,1948,5,2
EGY,1952,1,0
EGY,1956,0,0
EGY,1964,0,0
EGY,1968,0,0
EGY,1972,0,0
EGY,1976,0,0
EGY,1984,1,0
EGY,1988,0,0
EGY,1992,0,0
EGY,1996,0,0
EGY,2000,0,0
EGY,2004,5,1
EGY,2008,1,0
EGY,2012,2,0
EGY,2016,3,0
EGY,2020,4,0
EGY,2024,3,1
EOR,2020,0,0
EOR,2024,1,0
ERI,2000,0,0
ERI,2004,1,0
ERI,2008,0,0
ERI,2012,0,0
ERI,2016,0,0
ERI,2020,0,0
ERI,2024,0,0
ESA,1968,0,0
ESA,1972,0,0
ESA,1984,0,0
ESA,1988,0,0
ESA,1992,0,0
ESA,1996,0,0
ESA,2000,0,0
ESA,2004,0,0
ESA,2008,0,0
ESA,2012,0,0
ESA,2016,0,0
ESA,2020,0,0
ESA,2024,0,0
ESP,1900,0,0
ESP,1920,18,0
ESP,1924,0,0
ESP,1928,3,3
ESP,1932,1,0
ESP,1948,3,0
ESP,1952,1,0
ESP,1956,0,0
ESP,1960,0,0
ESP,1964,0,0
ESP,1968,0,0
ESP,1972,1,0
ESP,1976,6,0
ESP,1980,7,2
ESP,1984,19,2
ESP,1988,4,1
ESP,1992,41,32
ESP,1996,38,11
ESP,2000,41,3
ESP,2004,30,4
ESP,2008,44,7
ESP,2012,39,5
ESP,2016,43,8
ESP,2020,49,3
ESP,2024,54,27
EST,1920,3,1
EST,1924,6,1
EST,1928,9,2
EST,1932,0,0
EST,1936,7,2
EST,1992,3,1
EST,1996,0,0
EST,2000,3,1
EST,2004,3,0
EST,2008,3,1
EST,2012,2,0
EST,2016,4,0
EST,2020,5,4
EST,2024,0,0
ETH,1956,0,0
ETH,1960,1,1
ETH,1964,1,1
ETH,1968,2,1
ETH,1972,2,0
ETH,1980,4,2
ETH,1992,3,1
ETH,1996,3,2
ETH,2000,8,4
ETH,2004,7,2
ETH,2008,7,4
ETH,2012,7,3
ETH,2016,8,1
ETH,2020,4,1
ETH,2024,4,1
EUN,1992,174,81
FIJ,1956,0,0
FIJ,1960,0,0
FIJ,1968,0,0
FIJ,1972,0,0
FIJ,1976,0,0
FIJ,1984,0,0
FIJ,1988,0,0
FIJ,1992,0,0
FIJ,1996,0,0
FIJ,2000,0,0
FIJ,2004,0,0
FIJ,2008,0,0
FIJ,2012,0,0
FIJ,2016,13,13
FIJ,2020,26,13
FIJ,2024,14,0
FIN,1906,4,2
FIN,1908,30,1
FIN,1912,71,9
FIN,1920,48,19
FIN,1924,52,24
FIN,1928,25,8
FIN,1932,29,5
FIN,1936,26,7
FIN,1948,29,15
FIN,1952,40,8
FIN,1956,26,3
FIN,1960,6,1
FIN,1964,5,3
FIN,1968,4,1
FIN,1972,10,3
FIN,1976,6,4
FIN,1980,9,3
FIN,1984,12,4
FIN,1988,4,1
FIN,1992,6,1
FIN,1996,3,1
FIN,2000,5,3
FIN,2004,2,0
FIN,2008,5,1
FIN,2012,5,0
FIN,2016,1,0
FIN,2020,1,0
FIN,2024,0,0
FRA,1896,11,5
FRA,1900,189,47
FRA,1904,2,0
FRA,1906,64,20
FRA,1908,39,11
FRA,1912,25,10
FRA,1920,140,13
FRA,1924,100,29
FRA,1928,37,11
FRA,1932,36,23
FRA,1936,44,13
FRA,1948,64,25
FRA,1952,33,13
FRA,1956,33,7
FRA,1960,12,0
FRA,1964,30,1
FRA,1968,26,12
FRA,1972,22,2
FRA,1976,20,5
FRA,1980,29,18
FRA,1984,65,20
FRA,1988,27,12
FRA,1992,54,9
FRA,1996,51,21
FRA,2000,63,22
FRA,2004,47,20
FRA,2008,66,24
FRA,2012,61,21
FRA,2016,88,20
FRA,2020,139,64
FRA,2024,172,48
FRG,1968,46,17
FRG,1972,66,26
FRG,1976,71,21
FRG,1984,93,28
FRG,1988,91,31
FSM,2000,0,0
FSM,2004,0,0
FSM,2008,0,0
FSM,2012,0,0
FSM,2016,0,0
FSM,2020,0,0
FSM,2024,0,0
GAB,1972,0,0
GAB,1984,0,0
GAB,1988,0,0
GAB,1992,0,0
GAB,1996,0,0
GAB,2000,0,0
GAB,2004,0,0
GAB,2008,0,0
GAB,2012,1,0
GAB,2016,0,0
GAB,2020,0,0
GAB,2024,0,0
GAM,1984,0,0
GAM,1988,0,0
GAM,1992,0,0
GAM,1996,0,0
GAM,2000,0,0
GAM,2004,0,0
GAM,2008,0,0
GAM,2012,0,0
GAM,2016,0,0
GAM,2020,0,0
GAM,2024,0,0
GBR,1896,9,3
GBR,1900,71,36
GBR,1904,2,1
GBR,1906,31,8
GBR,1908,232,100
GBR,1912,142,36
GBR,1920,66,19
GBR,1924,51,14
GBR,1928,49,6
GBR,1932,29,8
GBR,1936,32,12
GBR,1948,44,6
