NOC,Year,Total_Medals,Gold_Medals
GBR,1952,17,3
GBR,1956,44,7
GBR,1960,23,1
GBR,1964,27,4
GBR,1968,18,9
GBR,1972,28,8
GBR,1976,26,5
GBR,1980,34,4
GBR,1984,48,9
GBR,1988,35,5
GBR,1992,33,8
GBR,1996,24,2
GBR,2000,54,22
GBR,2004,53,17
GBR,2008,75,29
GBR,2012,106,48
GBR,2016,110,45
GBR,2020,97,27
GBR,2024,131,33
GBS,1996,0,0
GBS,2000,0,0
GBS,2004,0,0
GBS,2008,0,0
GBS,2012,0,0
GBS,2016,0,0
GBS,2020,0,0
GBS,2024,0,0
GDR,1968,39,11
GDR,1972,125,28
GDR,1976,166,85
GDR,1980,218,93
GDR,1988,136,58
GEO,1996,2,0
GEO,2000,6,0
GEO,2004,4,2
GEO,2008,6,3
GEO,2012,7,1
GEO,2016,7,2
GEO,2020,8,2
GEO,2024,7,3
GEQ,1984,0,0
GEQ,1988,0,0
GEQ,1992,0,0
GEQ,1996,0,0
GEQ,2000,0,0
GEQ,2004,0,0
GEQ,2008,0,0
GEQ,2012,0,0
GEQ,2016,0,0
GEQ,2020,0,0
GEQ,2024,0,0
GER,1896,32,25
GER,1900,40,9
GER,1904,6,0
GER,1906,16,5
GER,1908,14,0
GER,1912,38,7
GER,1928,39,11
GER,1932,30,7
GER,1936,167,87
GER,1952,38,0
GER,1956,39,8
GER,1960,77,32
GER,1964,99,21
GER,1992,138,64
GER,1996,92,42
GER,2000,104,31
GER,2004,96,24
GER,2008,75,23
GER,2012,77,29
GER,2016,125,49
GER,2020,62,15
GER,2024,74,14
GHA,1952,0,0
GHA,1960,1,0
GHA,1964,1,0
GHA,1968,0,0
GHA,1972,1,0
GHA,1984,0,0
GHA,1988,0,0
GHA,1992,20,0
GHA,1996,0,0
GHA,2000,0,0
GHA,2004,0,0
GHA,2008,0,0
GHA,2012,0,0
GHA,2016,0,0
GHA,2020,1,0
GHA,2024,0,0
GRE,1896,42,9
GRE,1900,0,0
GRE,1904,2,1
GRE,1906,94,24
GRE,1908,4,0
GRE,1912,2,1
GRE,1920,5,0
GRE,1924,0,0
GRE,1928,0,0
GRE,1932,0,0
GRE,1936,0,0
GRE,1948,0,0
GRE,1952,0,0
GRE,1956,1,0
GRE,1960,3,3
GRE,1964,0,0
GRE,1968,1,0
GRE,1972,2,0
GRE,1976,0,0
GRE,1980,5,1
GRE,1984,2,0
GRE,1988,1,0
GRE,1992,2,2
GRE,1996,8,4
GRE,2000,18,4
GRE,2004,16,6
GRE,2008,7,0
GRE,2012,3,0
GRE,2016,6,3
GRE,2020,3,2
GRE,2024,9,1
GRN,1984,0,0
GRN,1988,0,0
GRN,1992,0,0
GRN,1996,0,0
GRN,2000,0,0
GRN,2004,0,0
GRN,2008,0,0
GRN,2012,1,1
GRN,2016,1,0
GRN,2020,1,0
GRN,2024,2,0
GUA,1952,0,0
GUA,1968,0,0
GUA,1972,0,0
GUA,1976,0,0
GUA,1980,0,0
GUA,1984,0,0
GUA,1988,0,0
GUA,1992,0,0
GUA,1996,0,0
GUA,2000,0,0
GUA,2004,0,0
GUA,2008,0,0
GUA,2012,1,0
GUA,2016,0,0
GUA,2020,0,0
GUA,2024,2,1
GUI,1968,0,0
GUI,1980,0,0
GUI,1984,0,0
GUI,1988,0,0
GUI,1992,0,0
GUI,1996,0,0
GUI,2000,0,0
GUI,2004,0,0
GUI,2008,0,0
GUI,2012,0,0
GUI,2016,0,0
GUI,2020,0,0
GUI,2024,0,0
GUM,1988,0,0
GUM,1992,0,0
GUM,1996,0,0
GUM,2000,0,0
GUM,2004,0,0
GUM,2008,0,0
GUM,2012,0,0
GUM,2016,0,0
GUM,2020,0,0
GUM,2024,0,0
GUY,1948,0,0
GUY,1952,0,0
GUY,1956,0,0
GUY,1960,0,0
GUY,1964,0,0
GUY,1968,0,0
GUY,1972,0,0
GUY,1980,1,0
GUY,1984,0,0
GUY,1988,0,0
GUY,1992,0,0
GUY,1996,0,0
GUY,2000,0,0
GUY,2004,0,0
GUY,2008,0,0
GUY,2012,0,0
GUY,2016,0,0
GUY,2020,0,0
GUY,2024,0,0
HAI,1900,1,1
HAI,1924,5,0
HAI,1928,1,0
HAI,1932,0,0
HAI,1960,0,0
HAI,1972,0,0
HAI,1976,0,0
HAI,1984,0,0
HAI,1988,0,0
HAI,1992,0,0
HAI,1996,0,0
HAI,2000,0,0
HAI,2004,0,0
HAI,2008,0,0
HAI,2012,0,0
HAI,2016,0,0
HAI,2020,0,0
HAI,2024,0,0
HKG,1960,0,0
HKG,1964,0,0
HKG,1968,0,0
HKG,1972,0,0
HKG,1976,0,0
HKG,1984,0,0
HKG,1988,0,0
HKG,1992,0,0
HKG,1996,1,1
HKG,2000,0,0
HKG,2004,2,0
HKG,2008,0,0
HKG,2012,1,0
HKG,2016,0,0
HKG,2020,5,1
HKG,2024,2,2
HON,1968,0,0
HON,1976,0,0
HON,1984,0,0
HON,1988,0,0
HON,1992,0,0
HON,1996,0,0
HON,2000,0,0
HON,2004,0,0
HON,2008,0,0
HON,2012,0,0
HON,2016,0,0
HON,2020,0,0
HON,2024,0,0
HUN,1896,4,0
HUN,1900,2,1
HUN,1904,0,0
HUN,1906,8,1
HUN,1908,15,7
HUN,1912,30,10
HUN,1924,19,2
HUN,1928,12,9
HUN,1932,18,10
HUN,1936,25,13
HUN,1948,43,15
HUN,1952,78,32
HUN,1956,51,19
HUN,1960,52,13
HUN,1964,44,30
HUN,1968,70,32
HUN,1972,67,10
HUN,1976,44,3
HUN,1980,46,7
HUN,1988,38,16
HUN,1992,36,9
HUN,1996,37,5
HUN,2000,39,11
HUN,2004,25,11
HUN,2008,11,3
HUN,2012,23,10
HUN,2016,15,9
HUN,2020,11,2
HUN,2024,13,6
INA,1952,0,0
INA,1956,0,0
INA,1960,0,0
INA,1968,0,0
INA,1972,0,0
INA,1976,0,0
INA,1984,0,0
INA,1988,3,0
INA,1992,6,2
INA,1996,6,2
INA,2000,8,2
INA,2004,5,1
INA,2008,7,2
INA,2012,2,0
INA,2016,4,2
INA,2020,6,2
INA,2024,3,2
IND,1900,2,0
IND,1920,0,0
IND,1924,0,0
IND,1928,0,0
IND,1932,0,0
IND,1936,0,0
IND,1948,0,0
IND,1952,1,0
IND,1956,0,0
IND,1960,0,0
IND,1964,0,0
IND,1968,0,0
IND,1972,0,0
IND,1976,0,0
IND,1980,0,0
IND,1984,0,0
IND,1988,0,0
IND,1992,0,0
IND,1996,1,0
IND,2000,1,0
IND,2004,1,0
IND,2008,3,1
IND,2012,6,0
IND,2016,2,0
IND,2020,6,1
IND,2024,6,0
IOA,1992,3,0
IOA,2000,0,0
IOA,2012,0,0
IOA,2016,2,1
IRI,1900,0,0
IRI,1948,1,0
IRI,1952,7,0
IRI,1956,5,2
IRI,1960,4,0
IRI,1964,2,0
IRI,1968,5,2
IRI,1972,3,0
IRI,1976,2,0
IRI,1988,1,0
IRI,1992,3,0
IRI,1996,3,1
IRI,2000,4,3
IRI,2004,6,2
IRI,2008,2,1
IRI,2012,12,4
IRI,2016,8,3
IRI,2020,6,2
IRI,2024,12,3
IRL,1924,0,0
IRL,1928,1,1
IRL,1932,2,2
IRL,1948,0,0
IRL,1952,1,0
IRL,1956,5,1
IRL,1960,0,0
IRL,1964,1,0
IRL,1968,0,0
IRL,1972,0,0
IRL,1976,0,0
IRL,1980,3,0
IRL,1984,1,0
IRL,1988,0,0
IRL,1992,2,1
IRL,1996,0,0
IRL,2000,1,0
IRL,2004,0,0
IRL,2008,3,0
IRL,2012,5,1
IRL,2016,3,0
IRL,2020,8,3
IRL,2024,6,4
IRQ,1948,0,0
IRQ,1960,1,0
IRQ,1964,0,0
IRQ,1968,0,0
IRQ,1980,0,0
IRQ,1984,0,0
IRQ,1988,0,0
IRQ,1992,0,0
IRQ,1996,0,0
IRQ,2000,0,0
IRQ,2004,0,0
IRQ,2008,0,0
IRQ,2012,0,0
IRQ,2016,0,0
IRQ,2020,0,0
IRQ,2024,0,0
ISL,1908,0,0
ISL,1912,0,0
ISL,1936,0,0
ISL,1948,0,0
ISL,1952,0,0
ISL,1956,1,0
ISL,1960,0,0
ISL,1964,0,0
ISL,1968,0,0
ISL,1972,0,0
ISL,1976,0,0
ISL,1980,0,0
ISL,1984,1,0
ISL,1988,0,0
ISL,1992,0,0
ISL,1996,0,0
ISL,2000,1,0
ISL,2004,0,0
ISL,2008,14,0
ISL,2012,0,0
ISL,2016,0,0
ISL,2020,0,0
ISL,2024,0,0
ISR,1952,0,0
ISR,1956,0,0
ISR,1960,0,0
ISR,1964,0,0
ISR,1968,0,0
ISR,1972,0,0
ISR,1976,0,0
ISR,1984,0,0
ISR,1988,0,0
ISR,1992,2,0
ISR,1996,1,0
ISR,2000,1,0
ISR,2004,2,1
ISR,2008,1,0
ISR,2012,0,0
ISR,2016,2,0
ISR,2020,14,2
ISR,2024,11,1
ISV,1968,0,0
ISV,1972,0,0
ISV,1976,0,0
ISV,1984,0,0
ISV,1988,1,0
ISV,1992,0,0
ISV,1996,0,0
ISV,2000,0,0
ISV,2004,0,0
ISV,2008,0,0
ISV,2012,0,0
ISV,2016,0,0
ISV,2020,0,0
ISV,2024,0,0
ITA,1896,0,0
ITA,1900,5,3
ITA,1904,0,0
ITA,1906,56,21
ITA,1908,8,2
ITA,1912,23,20
ITA,1920,82,66
ITA,1924,51,25
ITA,1928,71,24
ITA,1932,77,21
ITA,1936,71,36
ITA,1948,54,11
ITA,1952,43,17
ITA,1956,47,26
ITA,1960,76,24
ITA,1964,50,14
ITA,1968,31,4
ITA,1972,19,8
ITA,1976,18,1
ITA,1980,36,8
ITA,1984,63,29
ITA,1988,28,11
ITA,1992,31,9
ITA,1996,57,19
ITA,2000,59,19
ITA,2004,84,11
ITA,2008,40,7
ITA,2012,54,16
ITA,2016,39,7
ITA,2020,59,21
ITA,2024,71,28
IVB,1984,0,0
IVB,1988,0,0
IVB,1992,0,0
IVB,1996,0,0
IVB,2000,0,0
IVB,2004,0,0
IVB,2008,0,0
IVB,2012,0,0
IVB,2016,0,0
IVB,2020,0,0
IVB,2024,0,0
JAM,1948,3,1
JAM,1952,8,5
JAM,1956,0,0
JAM,1964,0,0
JAM,1968,1,0
JAM,1972,1,0
JAM,1976,2,1
JAM,1980,3,0
JAM,1984,7,0
JAM,1988,7,0
JAM,1992,4,0
JAM,1996,16,1
JAM,2000,23,0
JAM,2004,13,6
JAM,2008,14,5
JAM,2012,25,8
JAM,2016,30,11
JAM,2020,21,9
JAM,2024,6,1
JOR,1980,0,0
JOR,1984,0,0
JOR,1988,0,0
JOR,1992,0,0
JOR,1996,0,0
JOR,2000,0,0
JOR,2004,0,0
JOR,2008,0,0
JOR,2012,0,0
JOR,2016,1,1
JOR,2020,1,0
JOR,2024,1,0
JPN,1912,0,0
JPN,1920,3,0
JPN,1924,1,0
JPN,1928,2,1
JPN,1932,5,2
JPN,1936,7,2
JPN,1952,6,1
JPN,1956,19,3
JPN,1960,18,9
JPN,1964,57,32
JPN,1968,63,16
JPN,1972,53,27
JPN,1976,41,25
JPN,1984,46,10
JPN,1988,16,3
JPN,1992,23,2
JPN,1996,13,3
JPN,2000,11,5
JPN,2004,33,18
JPN,2008,26,6
JPN,2012,67,7
JPN,2016,44,15
JPN,2020,86,26
JPN,2024,80,27
KAZ,1996,11,3
KAZ,2000,7,3
KAZ,2004,8,1
KAZ,2008,13,2
KAZ,2012,13,7
KAZ,2016,17,2
KAZ,2020,6,0
KAZ,2024,8,1
KEN,1956,0,0
KEN,1960,0,0
KEN,1964,1,0
KEN,1968,12,3
KEN,1972,12,5
KEN,1984,3,1
KEN,1988,9,5
KEN,1992,8,2
KEN,1996,8,1
KEN,2000,7,2
KEN,2004,7,1
KEN,2008,15,6
KEN,2012,11,2
KEN,2016,13,6
KEN,2020,10,4
KEN,2024,11,4
KGZ,1996,0,0
KGZ,2000,1,0
KGZ,2004,0,0
KGZ,2008,2,0
KGZ,2012,0,0
KGZ,2016,0,0
KGZ,2020,3,0
KGZ,2024,6,0
KIR,2004,0,0
KIR,2008,0,0
KIR,2012,0,0
KIR,2016,0,0
KIR,2020,0,0
KIR,2024,0,0
KOR,1948,2,0
KOR,1952,2,0
KOR,1956,2,0
KOR,1960,0,0
KOR,1964,3,0
KOR,1968,2,0
KOR,1972,1,0
KOR,1976,17,1
KOR,1984,41,6
KOR,1988,61,28
KOR,1992,49,28
KOR,1996,50,10
KOR,2000,33,12
KOR,2004,52,14
KOR,2008,52,16
KOR,2012,59,18
KOR,2016,26,13
KOR,2020,38,14
KOR,2024,57,21
KOS,2016,1,1
KOS,2020,2,2
KOS,2024,2,0
KSA,1972,0,0
KSA,1976,0,0
KSA,1984,0,0
KSA,1988,0,0
KSA,1992,0,0
KSA,1996,0,0
KSA,2000,2,0
KSA,2004,0,0
KSA,2008,0,0
KSA,2012,4,0
KSA,2016,0,0
KSA,2020,0,0
KSA,2024,0,0
KUW,1968,0,0
KUW,1972,0,0
KUW,1976,0,0
KUW,1980,0,0
KUW,1984,0,0
KUW,1988,0,0
KUW,1992,0,0
KUW,1996,0,0
KUW,2000,1,0
KUW,2004,0,0
KUW,2008,0,0
KUW,2012,1,0
KUW,2020,1,0
KUW,2024,0,0
LAO,1980,0,0
LAO,1988,0,0
LAO,1992,0,0
LAO,1996,0,0
LAO,2000,0,0
LAO,2004,0,0
LAO,2008,0,0
LAO,2012,0,0
LAO,2016,0,0
LAO,2020,0,0
LAO,2024,0,0
LAT,1924,0,0
LAT,1928,0,0
LAT,1932,1,0
LAT,1936,2,0
LAT,1992,3,0
LAT,1996,1,0
LAT,2000,3,1
LAT,2004,4,0
LAT,2008,3,1
LAT,2012,3,1
LAT,2016,0,0
LAT,2020,5,4
LAT,2024,0,0
LBA,1968,0,0
LBA,1980,0,0
LBA,1988,0,0
LBA,1992,0,0
LBA,1996,0,0
LBA,2000,0,0
LBA,2004,0,0
LBA,2008,0,0
LBA,2012,0,0
LBA,2016,0,0
LBA,2020,0,0
LBA,2024,0,0
LBN,2020,0,0
LBN,2024,0,0
LBR,1956,0,0
LBR,1960,0,0
LBR,1964,0,0
LBR,1972,0,0
LBR,1984,0,0
LBR,1988,0,0
LBR,1996,0,0
LBR,2000,0,0
LBR,2004,0,0
LBR,2008,0,0
LBR,2012,0,0
LBR,2016,0,0
LBR,2020,0,0
LBR,2024,0,0
LCA,1996,0,0
LCA,2000,0,0
LCA,2004,0,0
LCA,2008,0,0
LCA,2012,0,0
LCA,2016,0,0
LCA,2020,0,0
LCA,2024,2,1
LES,1972,0,0
LES,1980,0,0
LES,1984,0,0
LES,1988,0,0
LES,1992,0,0
LES,1996,0,0
LES,2000,0,0
LES,2004,0,0
LES,2008,0,0
LES,2012,0,0
LES,2016,0,0
LES,2020,0,0
LES,2024,0,0
LIB,1948,0,0
LIB,1952,2,0
LIB,1960,0,0
LIB,1964,0,0
LIB,1968,0,0
LIB,1972,1,0
LIB,1976,0,0
LIB,1980,1,0
LIB,1984,0,0
LIB,1988,0,0
LIB,1992,0,0
LIB,1996,0,0
LIB,2000,0,0
LIB,2004,0,0
LIB,2008,0,0
LIB,2012,0,0
LIB,2016,0,0
LIE,1936,0,0
LIE,1948,0,0
LIE,1952,0,0
LIE,1960,0,0
LIE,1964,0,0
LIE,1968,0,0
LIE,1972,0,0
LIE,1976,0,0
LIE,1984,0,0
LIE,1988,0,0
LIE,1992,0,0
LIE,1996,0,0
LIE,2000,0,0
LIE,2004,0,0
LIE,2008,0,0
LIE,2012,0,0
LIE,2016,0,0
LIE,2020,0,0
LIE,2024,0,0
LTU,1924,0,0
LTU,1928,0,0
LTU,1992,13,1
LTU,1996,11,0
LTU,2000,17,2
LTU,2004,3,1
LTU,2008,5,0
LTU,2012,4,1
LTU,2016,7,0
LTU,2020,1,0
LTU,2024,7,0
LUX,1900,1,1
LUX,1912,0,0
LUX,1920,1,0
LUX,1924,0,0
LUX,1928,0,0
LUX,1936,0,0
LUX,1948,0,0
LUX,1952,1,1
LUX,1956,0,0
LUX,1960,0,0
LUX,1964,0,0
LUX,1968,0,0
LUX,1972,0,0
LUX,1976,0,0
LUX,1980,0,0
LUX,1984,0,0
LUX,1988,0,0
LUX,1992,0,0
LUX,1996,0,0
LUX,2000,0,0
LUX,2004,0,0
LUX,2008,0,0
LUX,2012,0,0
LUX,2016,0,0
LUX,2020,0,0
LUX,2024,0,0
MAD,1964,0,0
MAD,1968,0,0
MAD,1972,0,0
MAD,1980,0,0
MAD,1984,0,0
MAD,1992,0,0
MAD,1996,0,0
MAD,2000,0,0
MAD,2004,0,0
MAD,2008,0,0
MAD,2012,0,0
MAD,2016,0,0
MAD,2020,0,0
MAD,2024,0,0
MAL,1956,0,0
MAL,1960,0,0
MAR,1960,1,0
MAR,1964,0,0
MAR,1968,0,0
MAR,1972,0,0
MAR,1976,0,0
MAR,1984,2,2
MAR,1988,3,1
MAR,1992,3,1
MAR,1996,2,0
MAR,2000,5,0
MAR,2004,3,2
MAR,2008,2,0
MAR,2012,1,0
MAR,2016,1,0
MAR,2020,1,1
MAR,2024,20,1
MAS,1964,0,0
MAS,1968,0,0
MAS,1972,0,0
MAS,1976,0,0
MAS,1984,0,0
MAS,1988,0,0
MAS,1992,2,0
MAS,1996,3,0
MAS,2000,0,0
MAS,2004,0,0
MAS,2008,1,0
MAS,2012,1,0
MAS,2016,6,0
MAS,2020,3,0
MAS,2024,3,0
MAW,1972,0,0
MAW,1984,0,0
MAW,1988,0,0
MAW,1992,0,0
MAW,1996,0,0
MAW,2000,0,0
MAW,2004,0,0
MAW,2008,0,0
MAW,2012,0,0
MAW,2016,0,0
MAW,2020,0,0
MAW,2024,0,0
MDA,1996,3,0
MDA,2000,2,0
MDA,2004,0,0
MDA,2008,1,0
MDA,2012,2,0
MDA,2016,0,0
MDA,2020,0,0
MDA,2024,3,0
MDV,1988,0,0
MDV,1992,0,0
MDV,1996,0,0
MDV,2000,0,0
MDV,2004,0,0
MDV,2008,0,0
MDV,2012,0,0
MDV,2016,0,0
MDV,2020,0,0
MDV,2024,0,0
MEX,1924,0,0
MEX,1928,0,0
MEX,1932,2,0
MEX,1936,12,0
MEX,1948,8,4
MEX,1952,0,0
MEX,1956,0,0
MEX,1960,0,0
MEX,1964,1,0
MEX,1968,6,2
MEX,1972,1,0
MEX,1976,2,1
MEX,1980,9,0
MEX,1984,6,2
MEX,1988,1,0
MEX,1992,1,0
MEX,1996,1,0
MEX,2000,5,1
MEX,2004,4,0
MEX,2008,2,2
MEX,2012,19,16
MEX,2016,4,0
MEX,2020,25,0
MEX,2024,5,0
MGL,1964,0,0
MGL,1968,4,0
MGL,1972,1,0
MGL,1976,1,0
MGL,1980,4,0
MGL,1988,1,0
MGL,1992,2,0
MGL,1996,1,0
MGL,2000,0,0
MGL,2004,1,0
MGL,2008,4,2
MGL,2012,5,0
MGL,2016,2,0
MGL,2020,4,0
MGL,2024,1,0
MHL,2008,0,0
MHL,2012,0,0
MHL,2016,0,0
MHL,2024,0,0
MKD,1996,0,0
MKD,2000,1,0
MKD,2004,0,0
MKD,2008,0,0
MKD,2012,0,0
MKD,2016,0,0
MKD,2020,1,0
MKD,2024,0,0
MLI,1964,0,0
MLI,1968,0,0
MLI,1972,0,0
MLI,1980,0,0
MLI,1984,0,0
MLI,1988,0,0
MLI,1992,0,0
MLI,1996,0,0
MLI,2000,0,0
MLI,2004,0,0
MLI,2008,0,0
MLI,2012,0,0
MLI,2016,0,0
MLI,2020,0,0
MLI,2024,0,0
MLT,1936,0,0
MLT,1948,0,0
MLT,1960,0,0
MLT,1968,0,0
MLT,1972,0,0
MLT,1980,0,0
MLT,1984,0,0
MLT,1988,0,0
MLT,1992,0,0
MLT,1996,0,0
MLT,2000,0,0
MLT,2004,0,0
MLT,2008,0,0
MLT,2012,0,0
MLT,2016,0,0
MLT,2020,0,0
MLT,2024,0,0
MNE,2008,0,0
MNE,2012,14,0
MNE,2016,0,0
MNE,2020,0,0
MNE,2024,0,0
MON,1920,0,0
MON,1924,0,0
MON,1928,0,0
MON,1936,0,0
MON,1948,0,0
MON,1952,0,0
MON,1960,0,0
MON,1964,0,0
MON,1968,0,0
MON,1972,0,0
MON,1976,0,0
MON,1984,0,0
MON,1988,0,0
MON,1992,0,0
MON,1996,0,0
MON,2000,0,0
MON,2004,0,0
MON,2008,0,0
MON,2012,0,0
MON,2016,0,0
MON,2020,0,0
MON,2024,0,0
MOZ,1980,0,0
MOZ,1984,0,0
MOZ,1988,0,0
MOZ,1992,0,0
MOZ,1996,1,0
MOZ,2000,1,1
MOZ,2004,0,0
MOZ,2008,0,0
MOZ,2012,0,0
MOZ,2016,0,0
MOZ,2020,0,0
MOZ,2024,0,0
MRI,1984,0,0
MRI,1988,0,0
MRI,1992,0,0
MRI,1996,0,0
MRI,2000,0,0
MRI,2004,0,0
MRI,2008,1,0
MRI,2012,0,0
MRI,2016,0,0
MRI,2020,0,0
MRI,2024,0,0
MTN,1984,0,0
MTN,1988,0,0
MTN,1992,0,0
MTN,1996,0,0
MTN,2000,0,0
MTN,2004,0,0
MTN,2008,0,0
MTN,2012,0,0
MTN,2016,0,0
MTN,2020,0,0
MTN,2024,0,0
MYA,1948,0,0
MYA,1952,0,0
MYA,1956,0,0
MYA,1960,0,0
MYA,1964,0,0
MYA,1968,0,0
MYA,1972,0,0
MYA,1980,0,0
MYA,1984,0,0
MYA,1988,0,0
MYA,1992,0,0
MYA,1996,0,0
MYA,2000,0,0
MYA,2004,0,0
MYA,2008,0,0
MYA,2012,0,0
MYA,2016,0,0
MYA,2020,0,0
MYA,2024,0,0
NAM,1992,2,0
NAM,1996,2,0
NAM,2000,0,0
NAM,2004,0,0
NAM,2008,0,0
NAM,2012,0,0
NAM,2016,0,0
NAM,2020,1,0
NAM,2024,0,0
NBO,1956,0,0
NCA,1968,0,0
NCA,1972,0,0
NCA,1976,0,0
NCA,1980,0,0
NCA,1984,0,0
NCA,1992,0,0
NCA,1996,0,0
NCA,2000,0,0
NCA,2004,0,0
NCA,2008,0,0
NCA,2012,0,0
NCA,2016,0,0
NCA,2020,0,0
NCA,2024,0,0
NED,1900,26,3
NED,1906,6,0
NED,1908,16,0
NED,1912,26,0
NED,1920,42,15
NED,1924,26,8
NED,1928,38,17
NED,1932,7,2
NED,1936,17,2
NED,1948,15,7
NED,1952,1,0
NED,1956,0,0
NED,1960,0,0
NED,1964,21,5
NED,1968,13,5
NED,1972,6,3
NED,1976,2,0
NED,1980,2,0
NED,1984,15,2
NED,1988,8,3
NED,1992,33,5
NED,1996,39,22
NED,2000,31,6
NED,2004,30,2
NED,2008,26,4
NED,2012,28,3
NED,2016,29,7
NED,2020,51,15
NED,2024,65,31
NEP,1964,0,0
NEP,1972,0,0
NEP,1976,0,0
NEP,1980,0,0
NEP,1984,0,0
NEP,1988,0,0
NEP,1992,0,0
NEP,1996,0,0
NEP,2000,0,0
NEP,2004,0,0
NEP,2008,0,0
NEP,2012,0,0
NEP,2016,0,0
NEP,2020,0,0
NEP,2024,0,0
NFL,1904,0,0
NGR,1952,0,0
NGR,1956,0,0
NGR,1960,0,0
NGR,1964,1,0
